web-scraper-order,web-scraper-start-url,Event,Event-href,Title,Date and Time,Location,Description,Organizer_link,Organizer_link-href
"1681240136-142","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=5","How to Save a Planet (Before it is Too Late)How to Save a Planet (Before it is Too Late)","https://www.eventbrite.com/e/how-to-save-a-planet-before-it-is-too-late-registration-608979051737?aff=ebdssbdestsearch","How to Save a Planet (Before it is Too Late)","Sunday, April 16 · 3 - 4:15pm EDT","Community United Methodist Church 81-10 35th Avenue Queens, NY 11372","About this event1 hour 15 minutesMobile eTicketWe’re living in a time of global crisis. We bear witness to the effects of our government’s inability to respond to the existential threats of climate and ecological emergency, the COVID-19 pandemic, and the ravages of a long history of systemic racism. Facing these threats alone can be overwhelming. Extinction Rebellion (XR) is a mass movement that is bringing people together to avoid total climate breakdown. This talk will (a) lay out the climate science that drives our urgency to act and (b) describe how we use nonviolent direct action to demand change from government, corporations, and media.We  welcome you if you want to just learn about the state of the earth’s climate. We will love you if you join Extinction Rebellion to fight for it. We need everyone, whether or not you are in a position to perform direct action yourself.Come to hear more about what humanity is facing in the next decade, what has to happen to prevent catastrophe, and to connect with others who are wrestling with these truths. You are not alone.Refreshments will be provided!Please register ahead for this event as capacity is limited. ---Covid -19 event policy: Please bring your mask (preferably a KN-95 or N-95). There will be extra masks provided at the venue, and we will be asking everybody to wear a mask.Because Covid-19 is still creating dangerous conditions among our communities, we are asking that you stay home if you have had: a positive Covid test, symptoms, OR contact with anyone else who has tested positive within the past 7 days.","Extinction Rebellion NYC","https://www.eventbrite.com/o/extinction-rebellion-nyc-30639374730"
"1681240139-143","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=5","Live recording of CISO Series Podcast in NYCLive recording of CISO Series Podcast in NYC","https://www.eventbrite.com/e/live-recording-of-ciso-series-podcast-in-nyc-tickets-567078596347?aff=ebdssbdestsearch","Live recording of CISO Series Podcast in NYC","Thursday, April 13 · 5:30 - 8:30pm EDT","Rise New York 43 West 23rd Street New York, NY 10010","About this event3 hoursMobile eTicketCISO Series Podcast is returning to NYC for our fifth show recorded in front of a live audience. Here are some photos from a few of our past events (February, 2019, September, 2019, and March, 2020).This will be a networking event with a live audience recording of CISO Series Podcast hosted by David Spark, producer of CISO Series along with guests Aaron Zollman, CISO & vp, platform engineering for Cedar and Colin Ahern, Chief Cyber Officer for the State of New York.5:30pm – Doors open and networking6:30pm – Recording begins7:15pm – Recording ends and drinks and food served until 8:30pm.This event is being co-produced in conjunction with the NY Information Security Meetup group. Please come out for an evening of networking with your fellow security peers and to be in the audience for the recording of this popular podcast.H﻿uge thanks to our sponsors, OpenVPN, SlashNext, and Votiro.","David Spark","https://www.eventbrite.com/o/david-spark-17176007277"
"1681240143-144","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=5","Earth Day Neighborhood Clean Up, Discussion, and CelebrationEarth Day Neighborhood Clean Up, Discussion, and Celebration","https://www.eventbrite.com/e/earth-day-neighborhood-clean-up-discussion-and-celebration-tickets-598511151967?aff=ebdssbdestsearch","Earth Day Neighborhood Clean Up, Discussion, and Celebration","Sat, Apr 22, 2023 1:00 PM - 7:00 PM EDT","Moxy Brooklyn Williamsburg 353 Bedford Avenue Brooklyn, NY 11211","About this event6 hoursMobile eTicketCelebrate our Earth with an incredible day of giving back to our neighborhood and celebrating with other plant-lovers. 1pm - 3:30pm Meet at Pollyn, 115 Broadway, BrooklynPart One - Neighborhood clean-up Do something meaningful for the Earth, get to know the neighborhood from a different perspective, and learn about recycling and composting options in the neighborhood. 4pm - 5pm Meet at Moxy Williamsburg (The Backyard) - 353 Bedford AvePart Two - Earth Day DiscussionLearn about innovative solutions and best practices by experts from:Air Company - Using CO2 to make products such as vodka or perfume Future Green - Rewards Visa card that incentivizes good purchasesDJs 4 Climate Action - Network of DJs and nightlife empresarios driving climate action Moderation: Pollyn Collective 5 pm - 7 pm (or later)Part Three - Celebration!Hosted by Anthony PayneSpecial floral installation by CultivationMusic by Gaspar Muniz and Stephanie Szankay","Moxy Williamsburg","https://www.eventbrite.com/o/moxy-williamsburg-61642356013"
"1681240145-145","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=5","Seminar on Indigenous Peoples, health and climate changeSeminar on Indigenous Peoples, health and climate change","https://www.eventbrite.com/e/seminar-on-indigenous-peoples-health-and-climate-change-tickets-609827720127?aff=ebdssbdestsearch","Seminar on Indigenous Peoples, health and climate change","Wednesday, April 19 · 5:30 - 6:30pm EDT","1 E 42nd St 1 East 42nd Street New York, NY 10017","About this event1 hourMobile eTicketThe Taipei Economic and Cultural Office in New York will work with like-minded partners to host an in-person seminar titled “Indigenous Peoples, human health, planetary and territorial health and climate change: a rights-based approach” at 17:30 on April 19 (Wed) and this seminar will be followed by the Creative Climate Awards 2023 Opening Ceremony and a reception.The effects of climate change have exacerbated the health and socio-economic inequities that are felt by Indigenous Peoples with limited access to public services and resources. Natural hazards and extreme weather not only cause evacuations or displacement of Indigenous Peoples from traditional territories but also impact arable lands, where reduced productivity poses a threat to food security. These issues add to ongoing challenges such as food insecurity and human health. They also disrupt traditional ways of life, cultural cohesion, and the transmission of traditional knowledge and skills, particularly among younger indigenous generations. Indigenous wisdom is key to preserving planetary health, territorial health, and Indigenous identity. The need to respect and protect Indigenous rights requires our urgent attention, and joint efforts are essential in tackling these challenges through an inclusive approach. This seminar will  be moderated by  Lea MacKenzie, recognized with a 2021 Inclusion Vanguard Award as part of WXN Canada’s Most Powerful Women: Top 100. H.E. Ambassador Ilana Seid, Permanent Representative of Palau to the United Nations, will deliver special remarks. and a keynote speech will be made by Yapasuyongu．Poiconu, Director-General of the Council of Indigenous Peoples (Taiwan). Panelists include John Furlow, Director of the International Research Institute for Climate and Society (Columbia University), Professor J.C. Salyer, Director of Human Rights Program, Barnard College and Eric Terena, Co-Founder of Midia India.","Taipei Economic and Cultural Office in New York","https://www.eventbrite.com/o/taipei-economic-and-cultural-office-in-new-york-33035214025"
"1681240149-146","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=5","Infra-Specter conversation with Sung Tieu and Kate AronoffInfra-Specter conversation with Sung Tieu and Kate Aronoff","https://www.eventbrite.com/e/infra-specter-conversation-with-sung-tieu-and-kate-aronoff-tickets-590384655397?aff=ebdssbdestsearch","Infra-Specter conversation with Sung Tieu and Kate Aronoff","Starts on Thursday, April 20 · 6pm EDT","Amant 315 Maujer Street Brooklyn, NY 11206","About this event1 hourMobile eTicketClimate journalist and author Kate Aronoff joins Sung Tieu in our galleries to talk about, and around, Sung's new installation, Liability Infrastructure. This sculptural, newsprint, and sound installation commissioned for Infra-Specter deals with the hidden infrastructures, language tactics, and legal protections that hinder direct communication or straightforward understanding but nevertheless impact bodies, land, legacies, and water.  Kate and Sung will depart from Sung's research that informed this piece to address wider questions dealing with infrastructure, obfuscation, and the challenges of accessing crucial information.  This conversation is part of Ear to the Ground, our public program that runs in parallel with Sung Tieu's exhibition.i﻿mage: Sung Tieu, Anti-Vandal Clock (Havana) , 2022","Amant","https://www.eventbrite.com/o/amant-32816386883"
"1681240152-147","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=5","13th Annual International Gold and Diamond Conference13th Annual International Gold and Diamond Conference","https://www.eventbrite.com/e/13th-annual-international-gold-and-diamond-conference-tickets-539647087967?aff=ebdssbdestsearch","13th Annual International Gold and Diamond Conference","July 17 · 5pm - July 19 · 5pm EDT","Bohemian National Hall 321 East 73rd Street Between 1st and 2nd Ave New York, NY 10021","About this event2 daysMobile eTicketIAC has organized an annual in-person conference devoted to gold and diamonds since 2011.  Taking place Monday, July 18 – Wednesday, July 20, this year’s conference “Maintaining Purpose” will take a wide-ranging look at the industry employing jewelry as a lens, while addressing what constitutes luxury in an age of responsible practice. In addition to considering the centrality of jewelry to culture and as historical document, we will discuss precious substances and their use, a broadened definition of natural resources to include cultural traditions and skills, new technologies, comparative approaches to extraction (for example, artisanal vs. larger-scale mining), the notion of premiums and what constitutes (and how to achieve) ethical sourcing and responsible practice—ranging from societal to environmental—and strategies for succession. The conference is highlighted by the participation of Silvia Furmanovich, Satta Maturi, and Pippa Small.Government, civil society, communities, and industry must preserve the magic, the romance, and emotional power of gold, diamonds, and jewelry for the consumer (while finding new ways to convey all of this) and, at the same time, do the hard work required to meet the imperatives of responsible sourcing and practice and environmental and social awareness, all of which underpin the UN's SDGs and the outcomes of COP 26. This tension is the focus of the 2023 international Gold and Diamond Conference.IAC’s 6th annual award for Leadership in Responsible Practice and 3rd annual award for Outstanding Contributions to the Diamond and Jewelry Industries.WHY JOIN US AT THIS, ""THE PREMIER SYMPOSIUM""?  ""IAC's conference...is a must for anyone looking to get in-depth insight into a wide range of industry trends spsnning from sustainability and ethical sourcing to technologicsl developments in today's ever more demanding consumer,  social and legal environments.""David Sarine, CEO SarineNETWORK with your peers, colleagues, jewelry industry luminaries and sustainability leaders BE IN THE KNOW regarding major developments in ethical sourcing and responsible practice STAY AHEAD of developments in technology, manufacturing, new business models GET INSIDER INSIGHTS on new approaches to social media, digital marketing and training for the future.Confirmed Participants to date: Nanz Aalund (author of ""Masters: Gold"" and ""A Jeweler's Guide to Apprenticeships"")David Block (CEO, Sarine)Aimee Boulanger (Executive Director, IRMA)Edward Bickham (World Gold Council)Angel Camacho (criminal analyst who has over 10 years of experience working transnational organized crime matters; member, Advisory Board, Amazon Aid)Gaetano Cavalieri (President, CIBJO)Allison Charalambous,(VP, Responsible Sourcing and Sustainability, Brilliant Earth),Nick Cotts (Vice President – Sustainability and External Relations, Newmont Mining Corporation)Olivier Demierre (President, Swiss Better Gold Association/Senior Vice President Corporate Social Responsibility, MKS PAMP)Ted Doudak (CEO, RIVA Precision Manufacturing)Sarah duPont (Founder & President, Amazon Aid Foundation)Luis E. Fernandez (Executive Director, CINCIA and Research Associate Professor of Biology, Wake Forest University)John Hall (Interim Chief, RJC)Mark Hanna (CMO, Richline Group)Simone Knobloch (Chief Operating officer, Valcambi)Lisa Koenigsberg (President, IAC)Joanne Lebert (Executive Director, Impact)Christina T. Miller, (Christina T. Miller Sustainable Jewlery Consulting),John Mulligan (Director and Climate Lead, World Gold Council)Mark Nelson (Education Coordinator, Rio Grande)Pippa Small (designer of responsibly handcrafted jewelry)Tiffany Stevens (CEO/President, Jewelers Vigilance Committee)Ruby Stocklin-Weinberg (Program Manager, GemFair, De Beers)Cristina Villegas (Director, Mines to Market, Pact)Arien Gessner  (President, Rio Grande)Jewelers Silvia Furmanovich and Satta MatturiRegister online: https://iacgold2023.eventbrite.com or call 646-485-1952CAPTION: Viola Davis wearing Satta Matturi's Kwe diamond and gold earrings for 'The First Lady' premiere and detail of the one-of-a-kind jewels; Photo via Instagram @elizabethstewart1 and courtesy. Merian Goldmine of Surgold, Newmont Suriname. Photo courtesy of ATV-Networks.","Initiatives in Art and Culture","https://www.eventbrite.com/o/initiatives-in-art-and-culture-1852643355"
"1681240155-148","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=5","Earth Networks Spring ForwardEarth Networks Spring Forward","https://www.eventbrite.com/e/earth-networks-spring-forward-tickets-519110753237?aff=ebdssbdestsearch","Earth Networks Spring Forward","Monday, May 8 · 5 - 7:30pm EDT","The Forum at Columbia University 601 West 125th Street New York, NY 10027","About this event2 hours 30 minutesMobile eTicket","COLUMBIA CLIMATE SCHOOL","https://www.eventbrite.com/o/columbia-climate-school-53494537753"
"1681240158-149","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=5","NYC Real Estate ExpoNYC Real Estate Expo","https://www.eventbrite.com/e/nyc-real-estate-expo-tickets-455024800427?aff=ebdssbdestsearch","NYC Real Estate Expo","Wednesday, May 10 · 8am - 5pm EDT","Citi Field 41 Seaver Way Queens, NY 11368","About this event9 hoursMobile eTicket1﻿5th Annual NYC Real Estate Expo7﻿000+ Attendees200 Exhibitors250 Speakers20 Podcasters20 Media Firms7.5 CE CreditsComplimentary Breakfast, Lunch, Coffee, Snacks included.TOPIC HIGHLIGHTSReflections on the State & Future Market   Interviews with Real Estate Titans  Need-to-Know TrendsSocial Media Tactics   International Real Estate  Financing Your Next Deal	Advice on Implementing New Technologies and Strategies And Much, Much More!L﻿ocation: Citi Field (41 Seaver Wy, Queens, NY 11368)D﻿ate: May 10th, 2023T﻿ime: 8:00am - 5:00pm ESTW﻿ebsiteI﻿nstagramA﻿genda, Floor Plan, Exhibit, Other Socials & More","One National Real Estate LLC","https://www.eventbrite.com/o/one-national-real-estate-llc-55838451093"
"1681240161-150","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=5","Community Convening: We’re Not Softening Our ResistanceCommunity Convening: We’re Not Softening Our Resistance","https://www.eventbrite.com/e/community-convening-were-not-softening-our-resistance-tickets-611361216857?aff=ebdssbdestsearch","Community Convening: We’re Not Softening Our Resistance","Starts on Saturday, April 29 · 1pm EDT","The Bronx Museum of the Arts 1040 Grand Concourse The Bronx, NY 10456","About this event3 hoursMobile eTicketJoin us in celebrating Earth Day with a video festival and panel showcasing short films/videos by visual artists on issues around climate change, indigenous land rights, black liberation and migration. Participate in a critical intercultural exchange and platform to discuss climate breakdown and what resistance looks like. After the festival, audience members are invited to  join in activities led by local and international environmental justice activists taking a deeper dive into the films’ theme. Curated and organized by Alicia Grullon.Part of this program is funded by Social Practice CUNY through generous funding from the Mellon Foundation.","The Bronx Museum","https://www.eventbrite.com/o/the-bronx-museum-60166184643"
"1681240164-151","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=5","Women in Tech New York 2023Women in Tech New York 2023","https://www.eventbrite.com/e/women-in-tech-new-york-2023-tickets-574408600587?aff=ebdssbdestsearch","Women in Tech New York 2023","Friday, May 12 · 5 - 7pm EDT","Looking for Host (contact partnerships@womentech.net) NYC NYC, NY 10001","About this event2 hoursMobile eTicketInterested in hosting? Connect with Anna Radulovski via email at nyc@womentech.net .After two years apart we are excited to finally bring the WomenTech community together in New York City for an informal and fun meetup with inspiring talks and in-person networking.BRING DIVERSITY, EQUALITY, AND THE FEELING OF BELONGING TO TECHWhy Join?Engage professionals and attract talent with personal stories and insights from your engineering leadersShare about your brand, projects, and technologies and connect with the local women in tech communityShowcase your company culture and D&I involvementHow do you make sure that participants are relevant?The event is invite-only with verification of the attendees' profiles.  We focus on tech leaders, software engineers, product managers, data, UX & design professionals and other tech roles.Is this event only for women?While most of the attendees are women, everyone who supports and promotes diversity and inclusion is welcome to join, regardless of their gender.What do the packages include?10 min keynote speaking slot (in-person/hybrid upon confirmation)Speaker feature on social media Company profile on WomenTech websiteLogo featured on Global Conference website “Global Impact Summit Partner” section5 Job posts on WomenTech job boardAttendee list for targeted location (upon consent)20 VIP tickets for the Women in Tech Global Conference 2023 I want to get involved in the Women in Tech Global Conference and join in-person locations, is that possible?Ask us about the bundle packages and possibilities for global outreach.","WomenTech Network","https://www.eventbrite.com/o/womentech-network-25542467391"
